468.00,379.08
518.00,377.91
579.00,391.27
661.00,415.23
668.00,444.23
669.00,484.49
672.00,544.99
673.00,616.83
674.00,674.34
674.00,699.80
675.00,700.85
675.00,697.47
675.00,702.28
675.00,708.21
675.00,708.98
675.00,709.43
676.00,709.90
676.00,709.96
676.00,709.82
676.00,709.82
676.00,710.20
676.00,710.70
676.00,711.02
676.00,711.02
675.00,710.85
676.00,710.91
676.00,711.08
676.00,710.97
676.00,710.66
676.00,710.47
676.00,710.66
676.00,710.97
676.00,711.08
676.00,710.97
676.00,710.91
676.00,710.97
676.00,710.97
676.00,710.97
676.00,710.97
675.00,710.91
676.00,710.97
675.00,711.02
676.00,710.97
676.00,710.76
676.00,710.47
676.00,710.34
676.00,710.47
676.00,710.76
676.00,710.97
676.00,711.02
676.00,710.97
676.00,710.91
676.00,710.97
676.00,710.97
676.00,710.97
676.00,710.97
676.00,710.97
676.00,710.97
