x,y
800,471
801,456
802,465
803,462
804,469
805,471
806,464
807,463
808,455
809,459
810,457
811,460
812,457
813,452
814,451
815,462
816,469
817,459
818,453
819,465
820,477
821,465
822,474
823,473
824,471
825,468
826,472
827,469
828,473
829,470
830,469
831,469
832,469
833,468
834,473
835,473
836,480
837,479
838,477
839,478
840,472
841,479
842,476
843,476
844,475
845,474
846,474
847,471
848,472
849,476
850,479
851,473
852,470
853,479
854,490
855,500
856,492
857,487
858,488
859,489
860,492
861,495
862,496
863,496
864,495
865,499
866,502
867,498
868,504
869,507
870,509
871,524
872,519
873,519
874,530
875,524
876,525
877,517
878,506
879,500
880,503
881,507
882,507
883,501
884,500
885,503
886,507
887,512
888,514
889,507
890,509
891,513
892,520
893,533
894,524
895,524
896,525
897,522
898,529
899,539
900,544
901,531
902,532
903,553
904,618
905,715
906,769
907,796
908,791
909,720
910,603
911,549
912,537
913,540
914,542
915,543
916,539
917,524
918,532
919,539
920,536
921,533
922,528
923,536
924,548
925,553
926,551
927,548
928,557
929,563
930,561
931,561
932,570
933,579
934,584
935,590
936,587
937,590
938,598
939,607
940,599
941,608
942,627
943,634
944,627
945,633
946,637
947,641
948,638
949,637
950,641
951,640
952,638
953,635
954,635
955,631
956,620
957,610
958,606
959,597
960,591
961,590
962,584
963,568
964,564
965,559
966,554
967,553
968,545
969,546
970,555
971,553
972,548
973,558
974,548
975,558
976,563
977,565
978,567
979,574
980,572
981,569
982,573
983,571
984,562
985,566
986,570
987,571
988,573
989,575
990,573
991,576
992,579
993,574
994,583
995,584
996,579
997,592
998,587
999,580
1000,579
1001,578
1002,581
1003,585
1004,578
1005,574
1006,578
1007,582
1008,579
1009,575
1010,575
1011,578
1012,582
1013,584
1014,582
1015,588
1016,590
1017,581
1018,574
1019,571
1020,569
1021,569
1022,566
1023,568
1024,566
1025,566
1026,563
1027,561
1028,566
1029,570
1030,567
1031,566
1032,567
1033,575
1034,577
1035,574
1036,569
1037,562
1038,571
1039,582
1040,572
1041,569
1042,578
1043,581
1044,575
1045,576
1046,573
1047,567
1048,557
1049,552
1050,553
1051,556
1052,555
1053,559
1054,557
1055,549
1056,544
1057,545
1058,554
1059,546
1060,548
1061,537
1062,540
1063,550
1064,550
1065,546
1066,540
1067,548
1068,546
1069,545
1070,546
1071,537
1072,541
1073,557
1074,614
1075,703
1076,762
1077,796
1078,789
1079,737
1080,633
1081,543
1082,516
1083,526
1084,529
1085,529
1086,506
1087,503
1088,504
1089,501
1090,505
1091,495
1092,492
1093,495
1094,495
1095,494
1096,493
1097,497
1098,499
1099,499
1100,486
1101,489
1102,503
1103,502
1104,500
1105,496
1106,503
1107,502
1108,501
1109,510
1110,512
1111,508
1112,517
1113,530
1114,529
1115,535
1116,542
1117,540
1118,533
1119,535
1120,536
1121,539
1122,543
1123,540
1124,534
1125,528
1126,529
1127,519
1128,509
1129,505
1130,497
1131,484
1132,477
1133,468
1134,471
1135,470
1136,479
1137,469
1138,462
1139,460
1140,460
1141,459
1142,463
1143,456
1144,462
1145,456
1146,454
1147,453
1148,462
1149,469
1150,459
1151,455
1152,454
1153,464
1154,469
1155,463
1156,450
1157,465
1158,479
1159,476
1160,472
1161,473
1162,474
1163,473
1164,478
1165,478
1166,472
1167,471
1168,466
1169,471
1170,475
1171,471
1172,470
1173,476
1174,482
1175,478
1176,469
1177,465
1178,463
1179,466
1180,472
1181,475
1182,469
1183,470
1184,476
1185,477
1186,475
1187,482
1188,476
1189,475
1190,475
1191,481
1192,473
1193,480
1194,478
1195,471
1196,468
1197,476
1198,479
1199,470
1200,470
1201,472
1202,473
1203,472
1204,477
1205,470
1206,466
1207,470
1208,477
1209,475
1210,474
1211,480
1212,487
1213,490
1214,490
1215,492
1216,489
1217,486
1218,480
1219,472
1220,469
1221,470
1222,460
1223,457
1224,455
1225,452
1226,453
1227,455
1228,458
1229,460
1230,452
1231,451
1232,458
1233,460
1234,465
1235,460
1236,461
1237,461
1238,466
1239,464
1240,460
1241,457
1242,462
1243,456
1244,463
1245,468
1246,457
1247,451
1248,483
1249,542
1250,627
1251,681
1252,693
1253,681
1254,621
1255,521
1256,460
1257,461
1258,473
1259,472
1260,464
1261,455
1262,454
1263,449
1264,451
1265,455
1266,452
1267,450
1268,454
1269,451
1270,450
1271,447
1272,451
1273,460
1274,459
1275,464
1276,458
1277,457
1278,467
1279,467
1280,473
1281,479
1282,479
1283,474
1284,477
1285,486
1286,494
1287,494
1288,503
1289,514
1290,511
1291,506
1292,508
1293,516
1294,516
1295,510
1296,518
1297,512
1298,507
1299,494
1300,496
1301,491
1302,489
1303,479
1304,471
1305,468
1306,459
1307,454
1308,444
1309,448
1310,440
1311,434
1312,430
1313,426
1314,430
1315,429
1316,430
1317,432
1318,425
1319,434
1320,435
1321,434
1322,435
1323,432
1324,434
1325,439
1326,436
1327,446
1328,444
1329,450
1330,452
1331,457
1332,458
1333,453
1334,454
1335,452
1336,452
1337,454
1338,456
1339,447
1340,448
1341,458
1342,446
1343,453
1344,462
1345,458
1346,450
1347,444
1348,453
1349,459
1350,457
1351,456
1352,452
1353,452
1354,452
1355,453
1356,455
1357,460
1358,454
1359,450
1360,453
1361,454
1362,456
1363,458
1364,448
1365,446
1366,460
1367,464
1368,459
1369,459
1370,457
1371,457
1372,451
1373,459
1374,459
1375,463
1376,463
1377,469
1378,468
1379,479
1380,483
1381,470
1382,465
1383,460
1384,455
1385,463
1386,455
1387,459
1388,453
1389,448
1390,440
1391,448
1392,450
1393,456
1394,456
1395,451
1396,447
1397,445
1398,435
1399,447
1400,457
1401,457
1402,455
1403,453
1404,447
1405,450
1406,455
1407,452
1408,446
1409,454
1410,488
1411,551
1412,639
1413,688
1414,689
1415,658
1416,565
1417,478
1418,440
1419,448
1420,467
1421,471
1422,467
1423,456
1424,455
1425,450
1426,447
1427,447
1428,453
1429,454
1430,452
1431,457
1432,462
1433,459
1434,455
1435,454
1436,455
1437,459
1438,465
1439,467
1440,468
1441,467
1442,470
1443,483
1444,477
1445,476
1446,479
1447,488
1448,489
1449,497
1450,515
1451,514
1452,519
1453,522
1454,513
1455,515
1456,517
1457,515
1458,521
1459,520
1460,516
1461,509
1462,499
1463,502
1464,506
1465,494
1466,470
1467,476
1468,471
1469,466
1470,454
1471,451
1472,449
1473,446
1474,448
1475,448
1476,445
1477,444
1478,441
1479,442
1480,441
1481,441
1482,445
1483,447
1484,448
1485,440
1486,460
1487,465
1488,463
1489,459
1490,456
1491,464
1492,462
1493,465
1494,468
1495,469
1496,469
1497,464
1498,464
1499,467
1500,473
1501,476
1502,470
1503,465
1504,477
1505,470
1506,468
1507,475
1508,474
1509,475
1510,466
1511,469
1512,470
1513,470
1514,467
1515,469
1516,467
1517,469
1518,464
1519,477
1520,480
1521,476
1522,470
1523,472
1524,480
1525,482
1526,480
1527,476
1528,472
1529,473
1530,473
1531,478
1532,483
1533,480
1534,473
1535,480
1536,475
1537,486
1538,495
1539,501
1540,495
1541,493
1542,495
1543,500
1544,497
1545,503
1546,492
1547,487
1548,477
1549,477
1550,473
1551,472
1552,474
1553,475
1554,472
1555,470
1556,480
1557,475
1558,477
1559,482
1560,475
1561,475
1562,474
1563,476
1564,479
1565,487
1566,484
1567,481
1568,488
1569,489
1570,483
1571,487
1572,505
1573,566
1574,663
1575,727
1576,744
1577,726
1578,642
1579,533
1580,476
1581,467
1582,486
1583,486
1584,485
1585,473
1586,472
1587,472
1588,467
1589,466
1590,466
1591,465
1592,472
1593,470
1594,459
1595,469
1596,477
1597,480
1598,469
1599,482
1600,485
1601,480
1602,480
1603,484
1604,480
1605,488
1606,495
1607,499
1608,503
1609,503
1610,506
1611,512
1612,523
1613,526
1614,523
1615,531
1616,535
1617,530
1618,533
1619,534
1620,542
1621,537
1622,531
1623,535
1624,525
1625,523
1626,515
1627,504
1628,498
1629,491
1630,491
1631,494
1632,485
1633,472
1634,474
1635,470
1636,470
1637,469
1638,465
1639,465
1640,464
1641,465
1642,469
1643,466
1644,466
1645,462
1646,456
1647,468
1648,475
1649,464
1650,478
1651,476
1652,476
1653,468
1654,474
1655,473
1656,477
1657,474
1658,472
1659,468
1660,470
1661,473
1662,473
1663,482
1664,470
1665,488
1666,487
1667,480
1668,482
1669,480
1670,482
1671,485
1672,481
1673,486
1674,485
1675,481
1676,477
1677,476
1678,473
1679,473
1680,483
1681,478
1682,480
1683,490
1684,492
1685,483
1686,478
1687,477
1688,484
1689,485
1690,483
1691,483
1692,487
1693,485
1694,485
1695,479
1696,473
1697,482
1698,487
1699,478
1700,481
1701,495
1702,495
1703,495
1704,492
1705,488
1706,488
1707,490
1708,492
1709,494
1710,494
1711,497
1712,510
1713,511
1714,507
1715,514
1716,507
1717,498
1718,509
1719,509
1720,503
1721,486
1722,489
1723,490
1724,486
1725,480
1726,484
1727,487
1728,483
1729,483
1730,488
1731,493
1732,484
1733,489
1734,488
1735,495
1736,491
1737,485
1738,500
1739,502
1740,501
1741,501
1742,508
1743,499
1744,502
1745,514
1746,573
1747,674
1748,743
1749,761
1750,770
1751,717
1752,607
1753,513
1754,489
1755,509
1756,520
1757,511
1758,501
1759,497
1760,487
1761,486
1762,487
1763,487
1764,487
1765,486
1766,488
1767,489
1768,493
1769,492
1770,497
1771,505
1772,500
1773,501
1774,504
1775,505
1776,515
1777,518
1778,520
1779,519
1780,523
1781,531
1782,532
1783,535
1784,536
1785,538
1786,545
1787,555
1788,558
1789,569
1790,571
1791,571
1792,566
1793,567
1794,571
1795,563
1796,560
1797,570
1798,564
1799,560
1800,548
1801,539
1802,528
1803,521
1804,518
1805,508
1806,503
1807,501
1808,497
1809,490
1810,496
1811,494
1812,489
1813,492
1814,492
1815,492
1816,502
1817,501
1818,498
1819,499
1820,494
1821,492
1822,500
1823,499
1824,495
1825,503
1826,506
1827,508
1828,507
1829,506
1830,508
1831,503
1832,499
1833,502
